Date,Price,Open,High,Low,Change %
5/21/2026,3.256,3.256,3.256,3.256,-0.28%
5/20/2026,3.265,3.244,3.265,3.244,0.59%
5/19/2026,3.246,3.25,3.251,3.246,-0.09%
5/18/2026,3.249,3.222,3.249,3.222,0.84%
5/17/2026,3.222,3.222,3.222,3.222,-0.15%
5/15/2026,3.227,3.226,3.227,3.22,0.03%
5/14/2026,3.226,3.225,3.23,3.224,0.06%
5/13/2026,3.224,3.213,3.224,3.213,0.34%
5/12/2026,3.213,3.207,3.213,3.207,0.16%
5/11/2026,3.208,3.205,3.208,3.205,0.09%
5/10/2026,3.205,3.205,3.205,3.205,-0.03%
5/8/2026,3.206,3.2,3.206,3.2,0.19%
5/7/2026,3.2,3.211,3.211,3.2,-0.31%
5/6/2026,3.21,3.215,3.215,3.21,-0.25%
5/5/2026,3.218,3.219,3.226,3.218,-0.03%
5/4/2026,3.219,3.216,3.221,3.216,0.09%
5/3/2026,3.216,3.216,3.216,3.216,-0.03%
4/30/2026,3.217,3.193,3.217,3.193,0.72%
4/29/2026,3.194,3.188,3.198,3.188,0.19%
4/28/2026,3.188,3.179,3.188,3.179,0.31%
4/27/2026,3.178,3.193,3.194,3.178,-0.50%
4/24/2026,3.194,3.193,3.194,3.193,0.03%
4/23/2026,3.193,3.186,3.193,3.186,0.25%
4/22/2026,3.185,3.184,3.185,3.184,0.00%
4/21/2026,3.185,3.191,3.191,3.185,-0.16%
4/20/2026,3.19,3.201,3.202,3.19,-0.37%
4/19/2026,3.202,3.201,3.202,3.201,0.03%
4/17/2026,3.201,3.198,3.205,3.198,0.13%
4/16/2026,3.197,3.194,3.197,3.193,0.09%
4/15/2026,3.194,3.203,3.203,3.194,-0.50%
4/14/2026,3.21,3.232,3.232,3.21,-0.65%
4/13/2026,3.231,3.224,3.231,3.224,0.19%
4/12/2026,3.225,3.224,3.225,3.224,0.00%
4/10/2026,3.225,3.247,3.247,3.225,-0.68%
4/9/2026,3.247,3.248,3.254,3.247,-0.03%
4/8/2026,3.248,3.254,3.254,3.248,-0.22%
4/7/2026,3.255,3.266,3.266,3.255,-0.34%
4/6/2026,3.266,3.262,3.266,3.262,0.12%
4/5/2026,3.262,3.262,3.262,3.262,0.00%
4/3/2026,3.262,3.262,3.262,3.262,0.00%
4/2/2026,3.262,3.235,3.262,3.234,0.83%
4/1/2026,3.235,3.276,3.276,3.235,-1.22%
3/31/2026,3.275,3.302,3.302,3.275,-0.76%
3/30/2026,3.3,3.293,3.3,3.293,-0.06%
3/27/2026,3.302,3.26,3.302,3.259,1.26%
3/26/2026,3.261,3.25,3.261,3.25,0.65%
3/25/2026,3.24,3.245,3.245,3.24,-0.18%
3/24/2026,3.246,3.227,3.246,3.227,0.59%
3/23/2026,3.227,3.227,3.227,3.227,1.64%
3/19/2026,3.175,3.165,3.181,3.165,0.13%
3/18/2026,3.171,3.179,3.179,3.171,-0.13%
3/17/2026,3.175,3.183,3.184,3.175,-0.25%
3/16/2026,3.183,3.147,3.183,3.147,1.18%
3/13/2026,3.146,3.146,3.146,3.146,0.45%
3/12/2026,3.132,3.132,3.133,3.132,-0.06%
3/11/2026,3.134,3.116,3.134,3.115,0.61%
3/10/2026,3.115,3.145,3.146,3.115,-0.99%
3/9/2026,3.146,3.1,3.146,3.1,1.48%
3/8/2026,3.1,3.1,3.1,3.1,-0.06%
3/6/2026,3.102,3.097,3.102,3.096,0.06%
3/5/2026,3.1,3.087,3.1,3.087,0.42%
3/4/2026,3.087,3.096,3.098,3.086,-0.39%
3/3/2026,3.099,3.042,3.099,3.04,1.97%
3/2/2026,3.039,3.029,3.039,3.029,0.00%
2/27/2026,3.039,3.044,3.044,3.039,-0.23%
2/26/2026,3.046,3.045,3.046,3.045,0.03%
2/25/2026,3.045,3.039,3.11,3.039,0.23%
2/24/2026,3.038,3.048,3.048,3.038,-0.30%
2/23/2026,3.047,3.049,3.049,3.047,-0.13%
2/19/2026,3.051,3.048,3.051,3.047,0.03%
2/16/2026,3.05,3.077,3.077,3.05,-0.88%
2/15/2026,3.077,3.077,3.077,3.077,0.03%
2/13/2026,3.076,3.046,3.076,3.046,0.92%
2/12/2026,3.048,3.041,3.048,3.039,0.13%
2/11/2026,3.044,3.037,3.044,3.037,0.23%
2/10/2026,3.037,3.039,3.039,3.037,0.40%
2/9/2026,3.025,3.023,3.034,3.023,0.10%
2/6/2026,3.022,3.039,3.042,3.022,-0.59%
2/5/2026,3.04,3.024,3.04,3.024,0.46%
2/4/2026,3.026,3.038,3.041,3.026,-0.49%
2/3/2026,3.041,3.029,3.041,3.029,0.36%
2/2/2026,3.03,3.029,3.03,3.029,0.03%
1/30/2026,3.029,3.036,3.036,3.027,-0.23%
1/29/2026,3.036,3.013,3.036,3.012,0.73%
1/28/2026,3.014,3.001,3.014,3.001,0.37%
1/27/2026,3.003,2.994,3.003,2.994,0.30%
1/26/2026,2.994,3.003,3.004,2.994,-0.33%
1/23/2026,3.004,3.027,3.027,3.004,-0.76%
1/22/2026,3.027,3.052,3.053,3.027,-0.85%
1/21/2026,3.053,3.062,3.062,3.053,-0.23%
1/20/2026,3.06,3.041,3.071,3.04,0.66%
1/19/2026,3.04,3.054,3.054,3.04,-0.43%
1/16/2026,3.053,3.018,3.053,3.018,1.16%
1/15/2026,3.018,3.031,3.031,3.018,0.13%
1/14/2026,3.014,3.033,3.033,3.014,-0.03%
1/13/2026,3.015,3.015,3.015,2.999,0.53%
1/12/2026,2.999,3.011,3.016,2.999,-0.03%
1/9/2026,3,2.998,3.012,2.998,0.03%
