,1155.KL,1066.KL,5819.KL,5225.KL,1082.KL,6033.KL,1961.KL,1818.KL,1295.KL,5347.KL,5168.KL,5216.KL,7113.KL,5183.KL,0166.KL,^KLSE
1155.KL,7.754410377576964e-05,5.08632313522934e-05,4.662580430158246e-05,2.2269030726589712e-05,4.0750564295143444e-05,2.5993427706679274e-05,1.9746605340944817e-05,3.7203944189074733e-05,5.30362349091975e-05,3.0454987838632756e-05,4.045665777362813e-05,2.434401919321348e-05,2.0429685630329313e-05,1.5163893167482142e-05,7.816849017060174e-05,4.407355579628044e-05
1066.KL,5.08632313522934e-05,0.00010448244976023457,5.9008400571557906e-05,2.5675093078109538e-05,4.301051333818805e-05,2.492312251806136e-05,2.0110925914148293e-05,3.513274210140006e-05,5.4758115319443515e-05,3.077398781979948e-05,2.3173531426104866e-05,1.5760216478768815e-05,1.6439305299534527e-05,3.211658480467069e-05,7.130250807567993e-05,4.221337400483236e-05
5819.KL,4.662580430158246e-05,5.9008400571557906e-05,0.0001087322943383445,2.646883280627044e-05,5.9669703122353784e-05,3.305816863669768e-05,2.0052686570522376e-05,3.846623184035265e-05,5.5034507619393475e-05,2.863889076618125e-05,1.6619156089265968e-05,2.2615564944288114e-05,5.298860337899384e-06,9.506084609569995e-06,6.309581855288895e-05,4.1955556770032457e-05
5225.KL,2.2269030726589712e-05,2.5675093078109538e-05,2.646883280627044e-05,0.00011427208041148248,1.674805630506178e-05,2.056899624884093e-05,1.787988526304782e-05,2.46330799732984e-05,2.894109230335382e-05,2.7369807167221698e-05,3.683275358436542e-05,-1.0310140626947268e-05,3.756496881217073e-05,5.405674645200203e-06,3.2310634364014843e-05,2.86597630119804e-05
1082.KL,4.0750564295143444e-05,4.301051333818805e-05,5.9669703122353784e-05,1.674805630506178e-05,0.00011123444757580559,2.2086490060369626e-05,1.3346855930517964e-05,4.1661640452074735e-05,4.5846409195809935e-05,2.702665900078162e-05,3.7470493887875853e-05,3.513529400920639e-05,2.3338108226603944e-05,1.0051200289051709e-05,7.613770304273642e-05,3.772891319142002e-05
6033.KL,2.5993427706679274e-05,2.492312251806136e-05,3.305816863669768e-05,2.056899624884093e-05,2.2086490060369626e-05,0.00010871561625905467,2.6103978082198706e-05,1.145198742942544e-05,3.173971501187821e-05,1.6246312544244815e-05,2.6579907034960277e-05,3.4044745952065533e-05,2.135674516361459e-05,2.412016586494943e-05,6.29239808835188e-05,2.863090884943144e-05
1961.KL,1.9746605340944817e-05,2.0110925914148293e-05,2.0052686570522376e-05,1.787988526304782e-05,1.3346855930517964e-05,2.6103978082198706e-05,0.00011648473049175327,1.6087035612094342e-05,9.942775856222784e-06,2.038279953890585e-05,3.949329958144189e-05,3.101779685281494e-05,4.336532956789129e-05,5.257979634717162e-05,2.5260939577683444e-05,2.5912749912665503e-05
1818.KL,3.7203944189074733e-05,3.513274210140006e-05,3.846623184035265e-05,2.46330799732984e-05,4.1661640452074735e-05,1.145198742942544e-05,1.6087035612094342e-05,0.00013283864474060043,3.518792279244301e-05,4.0680717668712445e-05,4.499829990885315e-05,3.8703916486446296e-05,4.6032571212745834e-05,6.88318926067898e-06,0.0001043956026997261,3.7332152580396256e-05
1295.KL,5.30362349091975e-05,5.4758115319443515e-05,5.5034507619393475e-05,2.894109230335382e-05,4.5846409195809935e-05,3.173971501187821e-05,9.942775856222784e-06,3.518792279244301e-05,0.00013526354483881523,4.0186936437519803e-05,3.116129667400134e-05,5.151769435096213e-05,2.0123783490243837e-05,4.2296364505294806e-05,8.779929417891515e-05,5.5002727200503095e-05
5347.KL,3.0454987838632756e-05,3.077398781979948e-05,2.863889076618125e-05,2.7369807167221698e-05,2.702665900078162e-05,1.6246312544244815e-05,2.038279953890585e-05,4.0680717668712445e-05,4.0186936437519803e-05,0.0001362184877500459,6.075691503624797e-05,5.278345113381283e-05,5.760674331960031e-05,4.5149424413514916e-05,9.366418229421196e-05,4.780805285910448e-05
5168.KL,4.045665777362813e-05,2.3173531426104866e-05,1.6619156089265968e-05,3.683275358436542e-05,3.7470493887875853e-05,2.6579907034960277e-05,3.949329958144189e-05,4.499829990885315e-05,3.116129667400134e-05,6.075691503624797e-05,0.001314752326360124,0.00011786082219190431,0.001016131144667897,0.00014734853058806426,0.00024347079434336498,5.929580215928691e-05
5216.KL,2.434401919321348e-05,1.5760216478768815e-05,2.2615564944288114e-05,-1.0310140626947268e-05,3.513529400920639e-05,3.4044745952065533e-05,3.101779685281494e-05,3.8703916486446296e-05,5.151769435096213e-05,5.278345113381283e-05,0.00011786082219190431,0.001277461648571908,9.869646797432931e-05,0.00013084916840276699,0.0002226495805026629,5.053717837879681e-05
7113.KL,2.0429685630329313e-05,1.6439305299534527e-05,5.298860337899384e-06,3.756496881217073e-05,2.3338108226603944e-05,2.135674516361459e-05,4.336532956789129e-05,4.6032571212745834e-05,2.0123783490243837e-05,5.760674331960031e-05,0.001016131144667897,9.869646797432931e-05,0.0010897938881408076,0.0001533739986253103,0.0001867529534308138,4.8359172667751525e-05
5183.KL,1.5163893167482142e-05,3.211658480467069e-05,9.506084609569995e-06,5.405674645200203e-06,1.0051200289051709e-05,2.412016586494943e-05,5.257979634717162e-05,6.88318926067898e-06,4.2296364505294806e-05,4.5149424413514916e-05,0.00014734853058806426,0.00013084916840276699,0.0001533739986253103,0.0010255613191054518,7.114179484433372e-05,6.254101454440532e-05
0166.KL,7.816849017060174e-05,7.130250807567993e-05,6.309581855288895e-05,3.2310634364014843e-05,7.613770304273642e-05,6.29239808835188e-05,2.5260939577683444e-05,0.0001043956026997261,8.779929417891515e-05,9.366418229421196e-05,0.00024347079434336498,0.0002226495805026629,0.0001867529534308138,7.114179484433372e-05,0.0009914791960961577,0.00010089260083039895
^KLSE,4.407355579628044e-05,4.221337400483236e-05,4.1955556770032457e-05,2.86597630119804e-05,3.772891319142002e-05,2.863090884943144e-05,2.5912749912665503e-05,3.7332152580396256e-05,5.5002727200503095e-05,4.780805285910448e-05,5.929580215928691e-05,5.053717837879681e-05,4.8359172667751525e-05,6.254101454440532e-05,0.00010089260083039895,5.094664473171422e-05
