,1155.KL,1066.KL,5819.KL,6033.KL,5225.KL,1082.KL,1818.KL,1295.KL,5347.KL,3816.KL
1155.KL,1.0,0.5413012917576818,0.4877865843123252,0.227216395119493,0.2292839767672638,0.3808589372871446,0.36354627039018517,0.5048494465747959,0.30101868852614677,0.18339199612874446
1066.KL,0.5413012917576818,1.0,0.5338484550175049,0.21262507067951572,0.22976212186315262,0.3584803966667838,0.2780316113666381,0.4555999953448569,0.257913057959421,0.11720353177840781
5819.KL,0.4877865843123252,0.5338484550175049,1.0,0.2524453146379852,0.22455691498449495,0.4790347284715777,0.31984846581761,0.44017387522683143,0.2394533545136998,0.09629452164735965
6033.KL,0.227216395119493,0.21262507067951572,0.2524453146379852,1.0,0.17391663846599623,0.15384014528744225,0.08462498328736255,0.23578793414179083,0.12084237544838665,0.215531463319429
5225.KL,0.2292839767672638,0.22976212186315262,0.22455691498449495,0.17391663846599623,1.0,0.1383187764771113,0.1671888115478517,0.23934412406144703,0.20345926846309653,0.04206234817913901
1082.KL,0.3808589372871446,0.3584803966667838,0.4790347284715777,0.15384014528744225,0.1383187764771113,1.0,0.29988632479794086,0.3310306486193491,0.21009703708353838,0.15800948660215527
1818.KL,0.36354627039018517,0.2780316113666381,0.31984846581761,0.08462498328736255,0.1671888115478517,0.29988632479794086,1.0,0.2550789784146902,0.2797610912085368,0.16510672888371936
1295.KL,0.5048494465747959,0.4555999953448569,0.44017387522683143,0.23578793414179083,0.23934412406144703,0.3310306486193491,0.2550789784146902,1.0,0.2963372973535009,0.15221659481432154
5347.KL,0.30101868852614677,0.257913057959421,0.2394533545136998,0.12084237544838665,0.20345926846309653,0.21009703708353838,0.2797610912085368,0.2963372973535009,1.0,0.12960053209594966
3816.KL,0.18339199612874446,0.11720353177840781,0.09629452164735965,0.215531463319429,0.04206234817913901,0.15800948660215527,0.16510672888371936,0.15221659481432154,0.12960053209594966,1.0
