,1155.KL,1066.KL,5819.KL,6033.KL,5225.KL,1082.KL,1818.KL,1295.KL,5347.KL,3816.KL,5168.KL,5216.KL,7113.KL,4677.KL,7106.KL
1155.KL,1.0,0.5377422656131355,0.4851726972935641,0.22806098377309744,0.2281544911017677,0.3838506797784292,0.3532129968534528,0.5049976220822558,0.30771516795593845,0.1811582177656455,0.13526417710259284,0.08494553438162077,0.07195311621390064,0.14580072704939748,0.04153507845697605
1066.KL,0.5377422656131355,1.0,0.5343081353202409,0.21121094620217598,0.22984846691226685,0.3563497362371525,0.27687977107846995,0.45522928108256666,0.2560590551469798,0.11683659627152175,0.06514679176348284,0.04450164895564446,0.04265310986134357,0.11356786555583627,-0.005661113178984419
5819.KL,0.4851726972935641,0.5343081353202409,1.0,0.2501811990929368,0.2244356670981326,0.4756966633412634,0.3195389238292893,0.4386060762442401,0.23781784455854826,0.0963725475452653,0.03075609410231464,0.049111793095390086,0.0050676135021561555,0.12068141261884512,-0.010548587843028768
6033.KL,0.22806098377309744,0.21121094620217598,0.2501811990929368,1.0,0.17338059881877285,0.15381347163607145,0.08226150595606938,0.2325194667695418,0.12149642316096955,0.21656894781697716,0.0525625777331605,0.058132745283214805,0.06518661380465442,0.16653970539636861,0.03599941531435465
5225.KL,0.2281544911017677,0.22984846691226685,0.2244356670981326,0.17338059881877285,1.0,0.1377015867819489,0.16758119763935178,0.23906806431208732,0.20294237700645193,0.042004180405547056,0.08222334892394294,-0.011119875338188902,0.07564337509996509,0.08156540388027991,0.08094186980601704
1082.KL,0.3838506797784292,0.3563497362371525,0.4756966633412634,0.15381347163607145,0.1377015867819489,1.0,0.2940325786162012,0.32946468017154296,0.2139805233487388,0.15665833209161895,0.055591010856904315,0.08502986837367414,0.04211998460405075,0.11937704779053136,0.009881192693208017
1818.KL,0.3532129968534528,0.27687977107846995,0.3195389238292893,0.08226150595606938,0.16758119763935178,0.2940325786162012,1.0,0.2522300774366692,0.2713173084438732,0.16534655400354073,0.10947886166928891,0.10039346174827021,0.12642963235562477,0.19003551442436245,0.07711243171584452
1295.KL,0.5049976220822558,0.45522928108256666,0.4386060762442401,0.2325194667695418,0.23906806431208732,0.32946468017154296,0.2522300774366692,1.0,0.29717352794450813,0.15240556704022587,0.0882593282707401,0.11327599878167056,0.04989703307816307,0.15006796024658092,0.04700939706760132
5347.KL,0.30771516795593845,0.2560590551469798,0.23781784455854826,0.12149642316096955,0.20294237700645193,0.2139805233487388,0.2713173084438732,0.29717352794450813,1.0,0.1281220613760711,0.14085311104798476,0.1242989031152026,0.12420888217408335,0.2028369444036176,0.14537656555705195
3816.KL,0.1811582177656455,0.11683659627152175,0.0963725475452653,0.21656894781697716,0.042004180405547056,0.15665833209161895,0.16534655400354073,0.15240556704022587,0.1281220613760711,1.0,0.14619720195357072,0.12244896734945783,0.16170347078310462,0.17379886499949554,0.14599846035530561
5168.KL,0.13526417710259284,0.06514679176348284,0.03075609410231464,0.0525625777331605,0.08222334892394294,0.055591010856904315,0.10947886166928891,0.0882593282707401,0.14085311104798476,0.14619720195357072,1.0,0.0777037850611756,0.8091570644985714,0.13683409345551986,0.7331440960465695
5216.KL,0.08494553438162077,0.04450164895564446,0.049111793095390086,0.058132745283214805,-0.011119875338188902,0.08502986837367414,0.10039346174827021,0.11327599878167056,0.1242989031152026,0.12244896734945783,0.0777037850611756,1.0,0.0703694879669681,0.09977155219990003,0.08311800158992823
7113.KL,0.07195311621390064,0.04265310986134357,0.0050676135021561555,0.06518661380465442,0.07564337509996509,0.04211998460405075,0.12642963235562477,0.04989703307816307,0.12420888217408335,0.16170347078310462,0.8091570644985714,0.0703694879669681,1.0,0.1569870107171222,0.7631161324064298
4677.KL,0.14580072704939748,0.11356786555583627,0.12068141261884512,0.16653970539636861,0.08156540388027991,0.11937704779053136,0.19003551442436245,0.15006796024658092,0.2028369444036176,0.17379886499949554,0.13683409345551986,0.09977155219990003,0.1569870107171222,1.0,0.17615602050442472
7106.KL,0.04153507845697605,-0.005661113178984419,-0.010548587843028768,0.03599941531435465,0.08094186980601704,0.009881192693208017,0.07711243171584452,0.04700939706760132,0.14537656555705195,0.14599846035530561,0.7331440960465695,0.08311800158992823,0.7631161324064298,0.17615602050442472,1.0
