,Stage,Mean Return,Volatility,Annual Return,Annual Risk,Beta vs FBMKLCI,Sharpe Ratio,Return/Risk Ratio
1155.KL,Stage 1 Low Volatility,0.0005768096092245,0.0077743366495549,0.1453560215245954,0.1234137682993056,0.8321130225942491,0.9347094989015456,0.0741940612074732
1066.KL,Stage 1 Low Volatility,0.0008255792019815,0.008840896942994,0.2080459588993501,0.1403448880674803,0.7873676444541194,1.2686315928638774,0.0933818375335523
5819.KL,Stage 1 Low Volatility,0.0002886881223312,0.009314578107424,0.0727494068274644,0.1478643434383848,0.7898168689415591,0.28911234333704067,0.0309931506292391
6033.KL,Stage 1 Low Volatility,0.0002736234976438,0.009541418460038,0.0689531214062442,0.1514653224003693,0.5310128415371491,0.2571751790372132,0.0286774444271397
5225.KL,Stage 1 Low Volatility,0.0006558275121622,0.0096582415989251,0.1652685330648975,0.153319832237608,0.5688109283583495,0.8822637690815143,0.0679034072035722
1082.KL,Stage 1 Low Volatility,0.000213871996955,0.0099258725937721,0.0538957432326747,0.1575683425705959,0.7052461648241649,0.1516531991314728,0.0215469214353255
1818.KL,Stage 1 Low Volatility,0.00063510273966,0.0102833760753896,0.1600458903943429,0.1632435344017948,0.6814163845638527,0.7966373116760519,0.0617601393748525
1295.KL,Stage 1 Low Volatility,0.0004883266508695,0.0103733759710011,0.1230583160191217,0.1646722384526532,1.0766844667802324,0.5651123522309923,0.0470749977861259
5347.KL,Stage 1 Low Volatility,0.0007330072900917,0.0107354774355958,0.1847178371031183,0.1704204210007927,0.9597780231126815,0.9078597282798558,0.0682789651870805
3816.KL,Stage 1 Low Volatility,0.0003626248901633,0.0107729781120617,0.0913814723211538,0.1710157257843451,0.6432248859799954,0.3589229706194231,0.033660598433529
5168.KL,Stage 2 High Volatility Addition,-0.0007056216180173,0.0324743130145978,-0.1778166477403813,0.5155137374057649,1.1344443944863463,-0.4031253343241311,-0.0217286080139769
5216.KL,Stage 2 High Volatility Addition,-0.0003884557818445,0.0307161504371773,-0.0978908570248213,0.4876037717401146,0.9052479693623963,-0.2622843883434625,-0.0126466297474035
7113.KL,Stage 2 High Volatility Addition,-0.0003919864288473,0.0301228488344714,-0.098780580069521,0.4781854007808198,0.8600056564387171,-0.2693109824332522,-0.0130129268649627
4677.KL,Stage 2 High Volatility Addition,0.0016803502223658,0.0295461611490872,0.4234482560362018,0.469030767582739,1.8178162896121672,0.8388538305577062,0.0568720320006036
7106.KL,Stage 2 High Volatility Addition,-0.0010705837084544,0.0274719892913307,-0.269787094530528,0.4361043101105448,0.7404756192029072,-0.687420618371181,-0.0389700104022796
