Month,Date,Yield
2023-05,2023-05-31,3.409
2023-06,2023-06-30,3.505
2023-07,2023-07-31,3.497
2023-08,2023-08-31,3.491
2023-09,2023-09-29,3.57
2023-10,2023-10-31,3.665
2023-11,2023-11-30,3.508
2023-12,2023-12-29,3.47
2024-01,2024-01-31,3.397
2024-02,2024-02-29,3.466
2024-03,2024-03-31,3.527
2024-04,2024-04-30,3.612
2024-05,2024-05-31,3.589
2024-06,2024-06-28,3.531
2024-07,2024-07-31,3.366
2024-08,2024-08-30,3.345
2024-09,2024-09-30,3.332
2024-10,2024-10-30,3.55
2024-11,2024-11-29,3.47
2024-12,2024-12-31,3.484
2025-01,2025-01-31,3.476
2025-02,2025-02-28,3.424
2025-03,2025-03-28,3.385
2025-04,2025-04-30,3.18
2025-05,2025-05-30,3.048
2025-06,2025-06-30,3.049
2025-07,2025-07-31,3.003
2025-08,2025-08-29,2.942
2025-09,2025-09-30,3.038
2025-10,2025-10-31,3.137
2025-11,2025-11-28,3.035
2025-12,2025-12-31,3.006
2026-01,2026-01-30,3.029
2026-02,2026-02-27,3.039
2026-03,2026-03-31,3.275
2026-04,2026-04-30,3.217
2026-05,2026-05-20,3.265
