,Stage,Mean Return,Volatility,Annual Return,Annual Risk,Beta vs FBMKLCI,Sharpe Ratio,Return/Risk Ratio
1155.KL,Stage 1 Low Volatility,0.000594042076267052,0.007737053797950152,0.1496986032192971,0.12282192137822331,0.8267160137605678,0.9474337230727942,0.07677884783797638
1066.KL,Stage 1 Low Volatility,0.0008256543958923779,0.008862436603902213,0.20806490776487924,0.14068681958400658,0.7892957387339293,1.241992215820692,0.09316336271774679
5819.KL,Stage 1 Low Volatility,0.0002662473539273285,0.0093423305708403,0.06709433318968679,0.1483049001371972,0.7916463714114477,0.2276483122639987,0.0284990294347271
6033.KL,Stage 1 Low Volatility,0.00022537219681009112,0.009580215134139612,0.056793793596142964,0.15208120050858429,0.5344618895044041,0.15426509354682358,0.0235247532184288
5225.KL,Stage 1 Low Volatility,0.0006410088163167963,0.009675069998779371,0.16153422171183265,0.15358697480347325,0.5686140841033037,0.8347143297984961,0.0662536618750735
1082.KL,Stage 1 Low Volatility,0.00019730200854769668,0.009894332565972072,0.04972010615401956,0.1570676601511781,0.7033174593770442,0.10433168206156455,0.019940911348203978
1818.KL,Stage 1 Low Volatility,0.0006011916062507162,0.010275243173744899,0.1515002847751805,0.1631144285906583,0.6863327352245364,0.7244442617565903,0.05850874729533111
1295.KL,Stage 1 Low Volatility,0.00045320648569485814,0.010412972153479595,0.11420803439510425,0.16530080836288627,1.079227495938991,0.48925992693626497,0.04352325916317896
5347.KL,Stage 1 Low Volatility,0.0007227411190651491,0.010698399850465857,0.18213076200441758,0.16983183258397958,0.9534998799626785,0.8761478149737688,0.06755600175419482
3816.KL,Stage 1 Low Volatility,0.0003399252117028231,0.010789223319356155,0.08566115334911142,0.1712736104553312,0.6440310483761321,0.30552389382709855,0.031505994606023977
