,1155.KL,1066.KL,5819.KL,6033.KL,5225.KL,1082.KL,1818.KL,1295.KL,5347.KL,3816.KL
1155.KL,0.01568260116542758,0.008800412659254858,0.008365503370328008,0.004028065027072873,0.004079055584624079,0.007052832127434769,0.006723647407505625,0.00969710254442825,0.006115089305788094,0.003612653867351075
1066.KL,0.008800412659254858,0.01990210179875977,0.010476603245151227,0.004242236604852276,0.00467310132755982,0.007445787881812323,0.005993665028805105,0.00994067394530854,0.005786647447774279,0.002649599270793462
5819.KL,0.008365503370328008,0.010476603245151227,0.021949785748798533,0.005294195753216162,0.004807533543446977,0.01047203738492889,0.00728772320544334,0.010090835931648666,0.0056623692189906455,0.002302615900381053
6033.KL,0.004028065027072873,0.004242236604852276,0.005294195753216162,0.0229682340725783,0.0038043520600274305,0.003468528023337348,0.0019218279772438489,0.005479760453177714,0.002963241127885906,0.005300466582667017
5225.KL,0.004079055584624079,0.00467310132755982,0.004807533543446977,0.0038043520600274305,0.023502295981687942,0.003143220872597062,0.003963038278480495,0.005703073154326309,0.005010272705392429,0.0010406281051874204
1082.KL,0.007052832127434769,0.007445787881812323,0.01047203738492889,0.003468528023337348,0.003143220872597062,0.024750281468456696,0.007146099540411157,0.008077312251458654,0.005429170726708144,0.003988661358451463
1818.KL,0.006723647407505625,0.005993665028805105,0.00728772320544334,0.0019218279772438489,0.003963038278480495,0.007146099540411157,0.026470563436041733,0.006406515839414153,0.007131875872544321,0.004361499610110059
1295.KL,0.00969710254442825,0.00994067394530854,0.010090835931648666,0.005479760453177714,0.005703073154326309,0.008077312251458654,0.006406515839414153,0.026913226449071313,0.007879901627258818,0.0040553273891561475
5347.KL,0.006115089305788094,0.005786647447774279,0.0056623692189906455,0.002963241127885906,0.005010272705392429,0.005429170726708144,0.007131875872544321,0.007879901627258818,0.028733195986582923,0.0035281760857764303
3816.KL,0.003612653867351075,0.002649599270793462,0.002302615900381053,0.005300466582667017,0.0010406281051874204,0.003988661358451463,0.004361499610110059,0.0040553273891561475,0.0035281760857764303,0.02892524740618748
