,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio,Selection Method
1155.KL,0.0005940421668747401,0.007737051656493496,0.1496986260524345,0.12282188738365278,0.07677888079966182,Stabiliser: positive-return stocks with lowest volatility
1066.KL,0.0008256543958923794,0.008862438419577382,0.20806490776487963,0.14068684840695633,0.09316334363108071,Stabiliser: positive-return stocks with lowest volatility
5819.KL,0.00026624735392732603,0.00934233230012701,0.06709433318968616,0.14830492758877267,0.028499024159492417,Stabiliser: positive-return stocks with lowest volatility
6033.KL,0.00022537245605522036,0.009580218405986851,0.05679385892591553,0.15208125244754903,0.023524772244689227,Stabiliser: positive-return stocks with lowest volatility
5225.KL,0.0006410087008507304,0.009675071871741093,0.16153419261438406,0.15358700453581883,0.06625363711488137,Stabiliser: positive-return stocks with lowest volatility
1082.KL,0.00019730200854769668,0.009894329379997143,0.04972010615401956,0.15706760957539403,0.01994091776917918,Stabiliser: positive-return stocks with lowest volatility
1818.KL,0.0006011917218546964,0.010275240349132927,0.1515003139073835,0.16311438375133336,0.05850877462982438,Stabiliser: positive-return stocks with lowest volatility
1295.KL,0.0004532064856948612,0.010412970989065998,0.11420803439510503,0.16530078987839347,0.043523264030097146,Stabiliser: positive-return stocks with lowest volatility
5347.KL,0.0007227408150608743,0.010698402482764682,0.18213068539534033,0.16983187437042796,0.06755595671645581,Stabiliser: positive-return stocks with lowest volatility
3816.KL,0.00033992511013053987,0.010789225516199874,0.08566112775289604,0.1712736453291441,0.031505978776710804,Stabiliser: positive-return stocks with lowest volatility
