,1155.KL,1066.KL,5819.KL,6033.KL,5225.KL,1082.KL,1818.KL,1295.KL,5347.KL,3816.KL,5168.KL,5216.KL,7113.KL,4677.KL,7106.KL
1155.KL,0.018455952561313157,0.00890840907679489,0.0084681626921002,0.004077496412780076,0.00412911271343642,0.007139382682819601,0.006806158292043446,0.009816102911327555,0.0061901321206574616,0.003656987433354455,0.008230996523880376,0.0048891908438652544,0.00406139566512876,0.008072171920260746,0.002138133385220548
1066.KL,0.00890840907679489,0.0227272338292419,0.010605169445654879,0.004294296249487172,0.004730448434078433,0.007537160689899123,0.0060672177559451465,0.010062663358259295,0.005857659708008417,0.00268211447664139,0.004508121807414008,0.002912765525633525,0.002737848294573277,0.007150216008529789,-0.00033140158591206604
5819.KL,0.0084681626921002,0.010605169445654879,0.024800046433972312,0.005359164771970267,0.004866530367800414,0.01060054755436149,0.007377156284173298,0.010214668094161668,0.005731856368527537,0.0023308730148869704,0.0022423357991215986,0.003386741689044596,0.00034271177321607135,0.00800517710057965,-0.0006505998059194654
6033.KL,0.004077496412780076,0.004294296249487172,0.005359164771970267,0.02583099289558681,0.0038510380973136404,0.0035110929137761753,0.0019454121595665129,0.005547006674557845,0.002999605266535975,0.005365512555439294,0.003925508113344425,0.004106453128626168,0.004515789771239315,0.01131613463059058,0.0022743893191864914
5225.KL,0.00412911271343642,0.004730448434078433,0.004866530367800414,0.0038510380973136404,0.026371608676106995,0.0031817936767280773,0.004011671672529334,0.005773059812166526,0.005071757492984971,0.001053398427637416,0.006215835423171228,-0.0007951170708396951,0.005304339510382679,0.005610110641427071,0.005176398639384755
1082.KL,0.007139382682819601,0.007537160689899123,0.01060054755436149,0.0035110929137761753,0.0031817936767280773,0.027634909122177257,0.007233794649678254,0.008176434965390987,0.005495796123879845,0.004037609192396514,0.004318963644468371,0.006248464364630195,0.0030354232112977143,0.008438337692501697,0.0006494331926170805
1818.KL,0.006806158292043446,0.0060672177559451465,0.007377156284173298,0.0019454121595665129,0.004011671672529334,0.007233794649678254,0.02937630195090612,0.006485134966307323,0.007219396432590448,0.00441502281989941,0.008811955037898101,0.007643182730927161,0.009439455521715937,0.013916751101432206,0.005250691884142021
1295.KL,0.009816102911327555,0.010062663358259295,0.010214668094161668,0.005547006674557845,0.005773059812166526,0.008176434965390987,0.006485134966307323,0.02982439721142632,0.007976601768406961,0.004105093331611161,0.00716616852489888,0.00869943631172624,0.0037580036030221615,0.01108601517343603,0.003228949230011313
5347.KL,0.0061901321206574616,0.005857659708008417,0.005731856368527537,0.002999605266535975,0.005071757492984971,0.005495796123879845,0.007219396432590448,0.007976601768406961,0.03166670095049114,0.003571472962010248,0.011835703797824969,0.009879199458608276,0.009681359950830967,0.015507285886903362,0.010334088699815357
3816.KL,0.003656987433354455,0.00268211447664139,0.0023308730148869704,0.005365512555439294,0.001053398427637416,0.004037609192396514,0.00441502281989941,0.004105093331611161,0.003571472962010248,0.03186110917608922,0.012327673370706269,0.009766163676362103,0.012647872232008991,0.01333368171100858,0.010414549059399347
5168.KL,0.008230996523880376,0.004508121807414008,0.0022423357991215986,0.003925508113344425,0.006215835423171228,0.004318963644468371,0.008811955037898101,0.00716616852489888,0.011835703797824969,0.012327673370706269,0.25807104016100546,0.018681650418132172,0.1907810142245007,0.03164474950148248,0.15764700733139378
5216.KL,0.0048891908438652544,0.002912765525633525,0.003386741689044596,0.004106453128626168,-0.0007951170708396951,0.006248464364630195,0.007643182730927161,0.00869943631172624,0.009879199458608276,0.009766163676362103,0.018681650418132172,0.2312931176397709,0.01569327291776893,0.021824328257492587,0.016905121467081157
7113.KL,0.00406139566512876,0.002737848294573277,0.00034271177321607135,0.004515789771239315,0.005304339510382679,0.0030354232112977143,0.009439455521715937,0.0037580036030221615,0.009681359950830967,0.012647872232008991,0.1907810142245007,0.01569327291776893,0.2225930247097132,0.03367651424955876,0.1522099677186961
4677.KL,0.008072171920260746,0.007150216008529789,0.00800517710057965,0.01131613463059058,0.005610110641427071,0.008438337692501697,0.013916751101432206,0.01108601517343603,0.015507285886903362,0.01333368171100858,0.03164474950148248,0.021824328257492587,0.03367651424955876,0.2142991815582626,0.03446314994943335
7106.KL,0.002138133385220548,-0.00033140158591206604,-0.0006505998059194654,0.0022743893191864914,0.005176398639384755,0.0006494331926170805,0.005250691884142021,0.003228949230011313,0.010334088699815357,0.010414549059399347,0.15764700733139378,0.016905121467081157,0.1522099677186961,0.03446314994943335,0.18579397638891607
