,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio
0097.KL,-0.00031316843131693237,0.035548994931013544,-0.07891844469186696,0.5643227996745455,-0.008809487635998365
0128.KL,0.0007077216112943963,0.02131222738274034,0.17834584604618786,0.33832112123755154,0.03320730389107725
0138.KL,0.00018155417828876318,0.024924486992471892,0.04575165292876832,0.3956639648276691,0.007284169112230843
0166.KL,-0.00011391509990207138,0.02749117277566644,-0.02870660517532199,0.43640883848353595,-0.004143697354479627
0272.KL,-0.0014947105582108098,0.04406641079110448,-0.3766670606691241,0.6995325847468531,-0.033919498579007064
1015.KL,0.0010396090590102636,0.01230657647767886,0.2619814828705864,0.19536084510321297,0.08447589472960754
1023.KL,0.0008601919784439578,0.012737742509353554,0.21676837856787734,0.20220539366475201,0.06753095988651861
1066.KL,0.0008256543958923779,0.008862436603902213,0.20806490776487924,0.14068681958400658,0.09316336271774679
1082.KL,0.00019730200854769668,0.009894332565972072,0.04972010615401956,0.1570676601511781,0.019940911348203978
1155.KL,0.000594042076267052,0.007737053797950152,0.1496986032192971,0.12282192137822331,0.07677884783797638
1295.KL,0.00045320648569485814,0.010412972153479595,0.11420803439510425,0.16530080836288627,0.04352325916317896
1562.KL,0.00024916087471613146,0.013464450950887203,0.06278854042846513,0.21374153253644815,0.0185050898566134
1619.KL,-1.1448012416788492e-05,0.024048473913269613,-0.0028848991290307,0.38175768831081414,-0.000476039039236982
1818.KL,0.0006011916062507162,0.010275243173744899,0.1515002847751805,0.1631144285906583,0.05850874729533111
1961.KL,0.00012363003212063743,0.011133923358777787,0.031154768094400632,0.17674555394267402,0.011103905437176348
2445.KL,-2.32853952101965e-05,0.012691402213754397,-0.005867919592969518,0.20146976427773247,-0.0018347377868901506
2488.KL,0.0007086467911162987,0.012591482713848273,0.17857899136130728,0.19988359139046719,0.056279852597257665
3026.KL,0.00038610272746388566,0.013216804823201547,0.09729788732089918,0.2098102721344218,0.02921301574992607
3182.KL,-0.0007163888913606486,0.01586770853168784,-0.18053000062288344,0.25189206390782337,-0.04514759581889337
3336.KL,0.000562678634663114,0.022142253871639643,0.14179501593510474,0.35149738326489355,0.02541198551534119
3689.KL,0.00019949970051439905,0.012908120595649991,0.05027392452962856,0.20491006193592487,0.015455363856890988
3816.KL,0.0003399252117028231,0.010789223319356155,0.08566115334911142,0.1712736104553312,0.031505994606023977
4065.KL,-0.0004488508361359379,0.014448468475368747,-0.11311041070625635,0.22936232646949362,-0.031065634181306027
4197.KL,0.0002611783955388555,0.019121734472661696,0.06581695567579159,0.303548124305242,0.0136587188736598
4677.KL,0.0014701926469646784,0.029237519936761398,0.3704885470350989,0.46413124022978147,0.05028445128535514
4707.KL,-0.0003918331775364124,0.014591849764153876,-0.09874196073917592,0.23163843386620594,-0.02685287909823359
4715.KL,-0.00019179204630943972,0.016617012002264283,-0.04833159566997881,0.2637868877458006,-0.011541909356706582
4863.KL,0.0007323743801363055,0.012759104070611442,0.184558343794349,0.20254449793697868,0.05740014158386034
5008.KL,-0.0003670585576155374,0.013764280863210167,-0.09249875651911543,0.21850118483819733,-0.02666747077187514
5020.KL,0.0002846279242253711,0.01797852188816318,0.07172623690479352,0.285400187139667,0.015831553116319667
5099.KL,-0.0007962697294271749,0.057124034135840586,-0.20065997181564807,0.906815929249192,-0.013939311910878887
5168.KL,-0.0008780842582327268,0.032132852212053635,-0.22127723307464714,0.5100932152097138,-0.027326682749418085
5176.KL,0.0008711433018601806,0.011442118834592651,0.21952811206876552,0.1816380054478821,0.07613478888424724
5185.KL,0.00045716952663969713,0.01458266391850796,0.11520672071320368,0.23149261308724042,0.03135020660110453
5210.KL,-0.000731377740619371,0.02569799692976117,-0.1843071906360815,0.40794305441189666,-0.028460496069728818
5211.KL,0.001753428467395205,0.018151765381692962,0.44186397378359166,0.288150342340506,0.0965982333136386
5216.KL,-0.00042961630642911013,0.03077578817887848,-0.10826330922013576,0.4885504915398832,-0.013959554957034607
5225.KL,0.0006410088163167963,0.009675069998779371,0.16153422171183265,0.15358697480347325,0.0662536618750735
5236.KL,0.0006422916541231682,0.011527330207901547,0.16185749683903838,0.18299069406377988,0.05571902969196646
5246.KL,0.0008756451705170533,0.013938508404746815,0.22066258297029742,0.22126696131686222,0.06282201402689895
5250.KL,1.917513057143655e-05,0.011017913052032934,0.00483213290400201,0.1749039474156708,0.001740359583605401
5258.KL,0.0005260756870221768,0.012394246501736119,0.13257107312958855,0.19675256358975632,0.0424451528334931
5273.KL,-2.8577291336395486e-05,0.020693444467625163,-0.007201477416771663,0.32849824698396946,-0.0013809828219320656
5285.KL,0.0005105735737311888,0.013263449676382282,0.12866454058025958,0.21055073622316586,0.03849477972841015
5288.KL,0.0017056861994237656,0.025397391523147888,0.4298329222547889,0.40317109151993547,0.06715989702600583
5289.KL,-0.0003099909717530257,0.02079566419134762,-0.07811772488176248,0.3301209347923016,-0.014906519402347464
5292.KL,0.0008292172811514074,0.029854176133789594,0.20896275485015467,0.4739203538803622,0.027775587490183044
5296.KL,0.0002524066781766875,0.020532369723152026,0.06360648290052524,0.3259412646857543,0.012293109932268417
5297.KL,0.00016434325473100006,0.03745218389154787,0.04141450019221202,0.5945349877997695,0.004388082019646622
5302.KL,9.215760142906041e-05,0.022633343339275986,0.023223715560123225,0.35929318688198675,0.004071762622411065
5306.KL,0.0005623881567399482,0.016775664035017325,0.14172181549846694,0.26630541068775715,0.03352404742763242
5309.KL,0.001649211212214703,0.019157548279423,0.4156012254781052,0.30411665086239953,0.08608675745769151
5310.KL,0.0003747972865203215,0.01451834052078205,0.09444891620312101,0.2304715108040477,0.025815435723099606
5318.KL,-0.00021254842756629344,0.013783573963817217,-0.05356220374670595,0.21880745331555096,-0.015420414772267844
5347.KL,0.0007227411190651491,0.010698399850465857,0.18213076200441758,0.16983183258397958,0.06755600175419482
5398.KL,0.0011514999762414534,0.01859049687164312,0.2901779940128463,0.29511498882895176,0.061940247438888284
5681.KL,-1.100252445532786e-05,0.017174108317453803,-0.002772636162742621,0.2726305175836122,-0.0006406460383242226
5819.KL,0.0002662473539273285,0.0093423305708403,0.06709433318968679,0.1483049001371972,0.0284990294347271
5878.KL,0.001557167347010653,0.01708499606478983,0.39240617144668455,0.27121590442770643,0.09114238839187044
6012.KL,-2.7573074679201183e-05,0.014683496497852371,-0.006948414819158698,0.23309328066123142,-0.001877827578958054
6033.KL,0.00022537219681009112,0.009580215134139612,0.056793793596142964,0.15208120050858429,0.0235247532184288
6742.KL,0.001798554222200588,0.026822697625009263,0.4532356639945482,0.42579712444594403,0.06705344284698757
6888.KL,-0.00029896801685831427,0.019521307876542653,-0.0753399402482952,0.30989115544834944,-0.015314958339321238
6947.KL,-0.0002922686149055481,0.014013916317625783,-0.07365169095619813,0.22246402482304725,-0.020855598697842363
7047.KL,-0.0007582043048587646,0.02593818053425038,-0.1910674848244087,0.41175585093073797,-0.029231206246621063
7081.KL,-0.0004577853327773002,0.04169463592813938,-0.11536190385987964,0.6618818260274133,-0.010979477877353152
7084.KL,1.4918305145789181e-05,0.010959124875752995,0.0037594128967388734,0.17397071404886433,0.0013612679219301399
7106.KL,-0.0012186459394825145,0.02744963285193236,-0.3070987767495937,0.4357494126374502,-0.04439570999204553
7113.KL,-0.0005464032699138562,0.030095939069682262,-0.13769362401829177,0.4777582215079913,-0.018155381981892912
7148.KL,-4.462245141731993e-05,0.01598742148989276,-0.011244857757164621,0.2537924482045559,-0.002791097454053502
7153.KL,-0.000179088413142253,0.026929730044369417,-0.04513028011184776,0.4274962114290353,-0.006650211971942792
7191.KL,-0.0016649978045750813,0.034403499685254135,-0.4195794467529205,0.5461386263848281,-0.04839617538353881
7203.KL,-0.0007730340489632773,0.019020547960593097,-0.19480458033874587,0.3019418382234367,-0.0406420493544589
7214.KL,-0.00020057460642252441,0.024164843805829606,-0.05054480081847615,0.3836050030856684,-0.00830026496484687
7223.KL,-0.0003914040957327995,0.10883911607754099,-0.09863383212466548,1.7277674043435916,-0.0035961712097509944
7233.KL,-7.127047563088135e-05,0.028710239435192204,-0.0179601598589821,0.4557609217598285,-0.002482406173997978
7277.KL,0.00010262932797078478,0.023234051481032046,0.025862590648637763,0.3688291330036964,0.004417194653053512
