Ticker,Stage Classification
1155.KL,Stage 1 Low Volatility
1066.KL,Stage 1 Low Volatility
5819.KL,Stage 1 Low Volatility
6033.KL,Stage 1 Low Volatility
5225.KL,Stage 1 Low Volatility
1082.KL,Stage 1 Low Volatility
1818.KL,Stage 1 Low Volatility
1295.KL,Stage 1 Low Volatility
5347.KL,Stage 1 Low Volatility
3816.KL,Stage 1 Low Volatility
5297.KL,Stage 2 High Volatility Addition
5292.KL,Stage 2 High Volatility Addition
4677.KL,Stage 2 High Volatility Addition
6742.KL,Stage 2 High Volatility Addition
5288.KL,Stage 2 High Volatility Addition
