,Stage 1 Weight,Stage 2 Weight
1066.KL,0.24999999999999986,0.25
1082.KL,0.0,0.0
1155.KL,0.03279505675580652,0.1623069746832555
1295.KL,5.225740959322329e-16,0.0
1818.KL,0.2172049432441937,0.08308802239729299
3816.KL,0.0,0.07316128719081445
4677.KL,0.0,6.591610395532965e-18
5225.KL,0.25,0.21241759381304756
5288.KL,0.0,0.025611101412368536
5292.KL,0.0,6.697489513939753e-17
5297.KL,0.0,0.0
5347.KL,0.25,0.11429270808165858
5819.KL,0.0,0.0
6033.KL,0.0,0.012865169504280736
6742.KL,0.0,0.0662571429172817
