,Stage 1 Weight,Stage 2 Weight
1066.KL,0.24999999999999992,0.24999999999999992
1082.KL,6.466334505793047e-17,1.0765514556781682e-15
1155.KL,0.1382191067114416,0.13214142277095428
1295.KL,1.1829470812142196e-16,1.3981336343417706e-15
1818.KL,0.13342322596529002,0.11408645140573043
3816.KL,0.05630370585650847,0.03138667849912568
4677.KL,0.0,0.08397554096789411
5168.KL,0.0,2.2853280392889366e-16
5216.KL,0.0,1.8991560932891927e-16
5225.KL,0.23572822136552343,0.22694678135038482
5347.KL,0.1863257401012363,0.16146312496012905
5819.KL,9.644152615094793e-17,6.96216583882302e-16
6033.KL,1.4246990410052422e-16,2.0689296489815896e-15
7106.KL,0.0,3.587684174170358e-16
7113.KL,0.0,2.894072091729835e-16
