,Stage 1 Weight,Stage 2 Weight
1066.KL,0.25,0.24999999999999992
1082.KL,0.0,0.0
1155.KL,0.032794595832476174,0.16230636082606012
1295.KL,2.4003379254726434e-16,0.0
1818.KL,0.21720540416752512,0.08308788778018716
3816.KL,3.87445976492779e-17,0.07316114452743946
4677.KL,0.0,0.0
5225.KL,0.24999999999999892,0.21241775949418965
5288.KL,0.0,0.02561114486986853
5292.KL,0.0,3.2558252426560796e-17
5297.KL,0.0,0.0
5347.KL,0.25,0.11429309714806402
5819.KL,0.0,7.563326592623099e-17
6033.KL,0.0,0.012865455467242265
6742.KL,0.0,0.06625714988694871
